Coral,Crab,Date,Observer,Moves,Within_2cm,Snaps,Cuts,Removed_Culcita,Notes
2,1,7/18/21,Julianna,0,0,0,0,0,
2,2,7/18/21,Alex,0,0,0,0,0,Snapped at fish
4,1,7/18/21,Julianna,0,0,0,0,0,Medium/large--just fed
4,2,7/18/21,NA,NA,NA,NA,NA,NA,Just one crab  
7,1,7/18/21,Julianna,0,0,0,0,0,Med/small
7,2,7/18/21,NA,NA,NA,NA,NA,NA,None
8,1,7/18/21,Julianna,1,1,0,0,0,Medium 
8,2,7/18/21,Alex,1,1,7,0,0,Medium 
9,1,7/18/21,Julianna,0,0,0,0,0,Large
9,2,7/18/21,Alex,1,0,0,0,0,"""couple retreats"""
10,1,7/18/21,Julianna,1,0,0,0,0,
10,2,7/18/21,Alex,1,2,5,0,0,
13,1,7/18/21,Julianna,1,0,0,0,0,"Female, gravid--other was more aggressive"
13,2,7/18/21,Alex,1,0,0,0,0,"Snapped at a fish, had a retreat as well"
16,1,7/18/21,Julianna,1,0,0,0,0,Mob of DAFL; just one crab
16,2,7/18/21,NA,NA,NA,NA,NA,NA,
18,1,7/18/21,Julianna,2,1,6,0,0,"Small: MV, 2MV, SNPx6, retreat, MV"
18,2,7/18/21,Alex,0,0,0,0,0,Large
19,1,7/18/21,Julianna,2,1,0,0,0,"Medim, one claw: MV, retreat, MV, 2MV"
19,2,7/18/21,NA,NA,NA,NA,NA,NA,Just one crab
21,1,7/18/21,Julianna,0,0,0,0,0,Small
21,2,7/18/21,Alex,0,0,0,0,0,Large: snapped at a fish
23,1,7/18/21,Julianna,0,0,0,0,0,Large
23,2,7/18/21,Alex,0,0,0,0,0,Small
27,1,7/18/21,Julianna,0,0,0,0,0,Medium
27,2,7/18/21,NA,NA,NA,NA,NA,NA,
28,1,7/18/21,Julianna,3,3,8,0,0,"Small: MV, 2MV, SNPx8, MV, 2MV, MV, 2MV"
28,2,7/18/21,Alex,1,2,6,0,0,Large
29,1,7/18/21,Julianna,1,1,0,0,0,Same size
29,2,7/18/21,Alex,1,0,0,0,0,Same size
30,1,7/18/21,Julianna,1,1,7,0,0,Medium; snaps retracted tube feet of Culcita
30,2,7/18/21,Alex,1,1,0,0,0,
33,1,7/18/21,Julianna,1,0,0,0,0,Just one crab under PAAR
33,2,7/18/21,NA,NA,NA,NA,NA,NA,
36,1,7/18/21,Julianna,0,0,0,0,0,Med/large
36,2,7/18/21,NA,NA,NA,NA,NA,NA,Just one crab
37,1,7/18/21,Julianna,1,1,1,0,0,"Small: MV, 2MV, SNPx1"
37,2,7/18/21,Alex,0,0,0,0,0,Large
40,1,7/18/21,NA,NA,NA,NA,NA,NA,Have not had crabs for a while
40,2,7/18/21,NA,NA,NA,NA,NA,NA,Have not had crabs for a while
2,1,7/23/21,Julianna,1,0,0,0,0,Large
2,2,7/23/21,Deron,0,0,0,0,0,Large
4,1,7/23/21,Julianna,0,0,0,0,0,Medium
4,2,7/23/21,NA,NA,NA,NA,NA,NA,Just one crab
7,1,7/23/21,Julianna,0,0,0,0,0,Medium
7,2,7/23/21,NA,NA,NA,NA,NA,NA,
8,1,7/23/21,Julianna,2,2,18,0,0,"Medium: MV, 2MV, SNPx18, MV, 2MV"
8,2,7/23/21,Deron,3,2,17,0,0,"Medium: MV, 2MV, SNPx17, retreat, MV, retreat, MV, 2MV"
9,1,7/23/21,Julianna,1,1,1,0,0,"Large: MV, 2MV, SNPx1"
9,2,7/23/21,Deron,1,1,9,0,0,"Large: MV, 2MV, SNPx9"
10,1,7/23/21,Julianna,2,2,4,0,0,"Medium: MV, 2MV, SNPx1, MV, 2MV, SNPx3"
10,2,7/23/21,Deron,1,1,13,0,0,"Medium: MV, 2MV, 2NPx13, retreat"
13,1,7/23/21,Julianna,1,0,0,0,0,Medium
13,2,7/23/21,Deron,2,1,0,0,0,"Medium: MV, retreat, MV, 2MV, reatreat"
16,1,7/23/21,Julianna,0,0,0,0,0,Medium: no response
16,2,7/23/21,NA,NA,NA,NA,NA,NA,
18,1,7/23/21,Julianna,0,0,0,0,0,No response
18,2,7/23/21,Deron,2,2,21,0,0,"Medium: MV, 2MV, SNPx12, retreat, MV, 2MV, SNPx9, retreat"
19,1,7/23/21,NA,NA,NA,NA,NA,NA,
19,2,7/23/21,NA,NA,NA,NA,NA,NA,
21,1,7/23/21,Julianna,0,0,0,0,0,Large: no response
21,2,7/23/21,Deron,0,0,0,0,0,Large: no response
23,1,7/23/21,Julianna,0,0,0,0,0,Small: no response
23,2,7/23/21,Deron,0,0,0,0,0,Large: no response
27,1,7/23/21,Julianna,1,1,9,0,0,"Medium: MV, 2MV, SNPx9"
27,2,7/23/21,Julianna,0,0,0,0,0,Small: no response
28,1,7/23/21,Julianna,4,4,24,0,0,"Medium: MV, 2MV, SNPx8, MV, 2MV, SNPx8, MV, 2MV, SNPx8, MV, 2MV"
28,2,7/23/21,Deron,2,2,19,0,0,"Medium: MV, 2MV, SNPx7, retreat, MV, 2MV, retreat, lots of snaps (assumed ""lots"" was like 12)"
29,1,7/23/21,Julianna,4,0,0,0,0,
29,2,7/23/21,NA,NA,NA,NA,NA,NA,
30,1,7/23/21,Deron,2,1,0,0,1,Large
30,2,7/23/21,Julianna,0,0,0,0,0,Small
33,1,7/23/21,Deron,1,0,0,0,0,Medium
33,2,7/23/21,Julianna,2,2,1,0,0,Medium
36,1,7/23/21,Julianna,0,0,0,0,0,Small
36,2,7/23/21,Deron,0,0,0,0,0,Large
37,1,7/23/21,Julianna,1,0,0,0,0,Large
37,2,7/23/21,NA,NA,NA,NA,NA,NA,Just one crab
40,1,7/23/21,NA,NA,NA,NA,NA,NA,
40,2,7/23/21,NA,NA,NA,NA,NA,NA,
2,1,7/25/21,Julianna,0,0,0,0,0,Medium
2,2,7/25/21,Alex,0,0,0,0,0,Medium
4,1,7/25/21,Julianna,0,0,0,0,0,Med/large
4,2,7/25/21,NA,NA,NA,NA,NA,NA,
7,1,7/25/21,Julianna,0,0,0,0,0,Medium/small
7,2,7/25/21,NA,NA,NA,NA,NA,NA,Just one
8,1,7/25/21,Julianna,1,2,9,0,0,"Medium: MV, 2MV, Retreat, 2MV, SNPx9"
8,2,7/25/21,Alex,1,1,7,0,0,Climbed onto Culcita
9,1,7/25/21,Julianna,2,2,3,0,0,"Medium: MV, 2MV, SNPx3, Retreat, MV, 2MV"
9,2,7/25/21,Alex,1,0,0,0,0,Medium
10,1,7/25/21,Julianna,1,0,0,0,0,Large: very active even though just had one move
10,2,7/25/21,Alex,2,1,4,0,0,"Small: MV, 2MV, SNPx4, MV"
13,1,7/25/21,Julianna,2,0,0,0,0,"Large: MV, retreat, MV"
13,2,7/25/21,Alex,1,0,0,0,0,Small
16,1,7/25/21,Julianna,0,0,0,0,0,Large
16,2,7/25/21,NA,NA,NA,NA,NA,NA,
18,1,7/25/21,Alex,2,0,0,0,0,Small
18,2,7/25/21,Julianna,1,0,0,0,0,Large
19,1,7/25/21,NA,NA,NA,NA,NA,NA,NO CRABS
19,2,7/25/21,NA,NA,NA,NA,NA,NA,
21,1,7/25/21,Julianna,0,0,0,0,0,Med/large
21,2,7/25/21,Alex,0,0,0,0,0,Med/large
23,1,7/25/21,Alex,1,0,0,0,0,Large
23,2,7/25/21,Julianna,0,0,0,0,0,Small; hid
27,1,7/25/21,Julianna,1,0,0,0,0,Medium 
27,2,7/25/21,Alex,1,1,9,0,0,Medium 
28,1,7/25/21,Julianna,4,3,6,0,0,"Medium-light; MV, 2MV, SNPx2, MV, other crab RM Culcita, MV, 2MV, SNPx3, MV, 2MV, SNP"
28,2,7/25/21,Alex,2,2,6,0,1,"Medium: MV, 2MV, SNPx6, RM, MV, 2MV"
29,1,7/25/21,Julianna,0,0,0,0,0,Small: hid
29,2,7/25/21,Alex,3,0,0,0,0,Large
30,1,7/25/21,Julianna,0,0,0,0,0,Medium
30,2,7/25/21,Alex,1,1,6,0,0,Medium
33,1,7/25/21,Alex,1,4,1,0,0,"Gravid female: MV, 2MV, 2MV, 2MV, SNP, 2MV"
33,2,7/25/21,Julianna,3,1,6,0,0,Male
36,1,7/25/21,Alex,0,0,0,0,0,Small
36,2,7/25/21,Julianna,0,0,0,0,0,Large; hid
37,1,7/25/21,Julianna,0,0,0,0,0,Small; hid
37,2,7/25/21,Alex,1,0,0,0,0,Large
40,1,7/25/21,NA,NA,NA,NA,NA,NA,NA
40,2,7/25/21,NA,NA,NA,NA,NA,NA,NA